R55CHEPSUM,,CHEP Summarization Report,,,,11/13/2023,12:24:44,,,,,,
VF075001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
         010,1009700,11808902,15879095,A127298-03,CBP,CHEP BLOCK (MARK 55),231760,7,10/5/2023,,,,
         010,1009702,11808903,15881302,A127305-01,CBP,CHEP BLOCK (MARK 55),231760,9,10/16/2023,,,,
         010,1009704,11808904,15881677,A127305-03,CBP,CHEP BLOCK (MARK 55),231760,6,10/17/2023,,,,
         010,1009706,11808905,15883119,A127307-01,CBP,CHEP BLOCK (MARK 55),231760,9,10/23/2023,,,,
         010,1009714,11808906,15879592,L597165-03,CBP,CHEP BLOCK (MARK 55),103863,2,10/9/2023,,,,
         010,1009715,11808907,15879681,L597165-05,CBP,CHEP BLOCK (MARK 55),103863,22,10/9/2023,,,,
         010,1009716,11808908,15880071,L597165-07,CBP,CHEP BLOCK (MARK 55),103863,19,10/10/2023,,,,
         010,1009708,11808909,15882758,A127307-03,CBP,CHEP BLOCK (MARK 55),231760,5,10/19/2023,,,,
         010,1009710,11808910,15884548,A127309-01,CBP,CHEP BLOCK (MARK 55),231760,3,10/26/2023,,,,
         010,1009711,11808911,15879725,L597165-01,CBP,CHEP BLOCK (MARK 55),103863,28,10/9/2023,,,,
         010,1009713,11808912,15879726,L597165-01,CBP,CHEP BLOCK (MARK 55),103863,1,10/9/2023,,,,
         010,1009712,11808913,15879593,L597165-03,CBP,CHEP BLOCK (MARK 55),103863,20,10/9/2023,,,,
         010,1009724,11808921,15879552,G127471-01,CBP,CHEP BLOCK (MARK 55),105683,15,10/9/2023,,,,
         010,1009725,11808922,15879505,G127471-03,CBP,CHEP BLOCK (MARK 55),105683,2,10/9/2023,,,,
         010,1009726,11808923,15881394,G127481-01,CBP,CHEP BLOCK (MARK 55),105683,14,10/16/2023,,,,
         010,1009727,11808924,15881812,G127481-03,CBP,CHEP BLOCK (MARK 55),105683,1,10/17/2023,,,,
         010,1009728,11808925,15883319,G127491-01,CBP,CHEP BLOCK (MARK 55),105683,15,10/23/2023,,,,
         010,1009729,11808926,15883327,G127500-01,CBP,CHEP BLOCK (MARK 55),105683,4,10/23/2023,,,,
         010,1009718,11808927,15879506,G127471-03,CBP,CHEP BLOCK (MARK 55),105683,10,10/9/2023,,,,
         010,1009719,11808928,15881395,G127481-01,CBP,CHEP BLOCK (MARK 55),105683,10,10/16/2023,,,,
         010,1009720,11808929,15883320,G127491-01,CBP,CHEP BLOCK (MARK 55),105683,9,10/23/2023,,,,
         010,1009721,11808930,15883328,G127500-01,CBP,CHEP BLOCK (MARK 55),105683,2,10/23/2023,,,,
         010,1009744,11809169,15880168,L597165-09,CBP,CHEP BLOCK (MARK 55),103863,7,10/10/2023,,,,
         010,1009749,11809251,15880186,M473944-01,CBP,CHEP BLOCK (MARK 55),4000172402,12,10/10/2023,,,,
         010,1009751,11809252,15879586,M473944-03,CBP,CHEP BLOCK (MARK 55),4000172402,15,10/9/2023,,,,
         010,1009754,11809253,15881732,M473953-01,CBP,CHEP BLOCK (MARK 55),4000172402,12,10/17/2023,,,,
         010,1009755,11809254,15880744,M473953-03,CBP,CHEP BLOCK (MARK 55),4000172402,14,10/12/2023,,,,
         010,1009777,11809262,15883533,L597652-07,CBP,CHEP BLOCK (MARK 55),103863,17,10/24/2023,,,,
         010,1009778,11809263,15885094,L597697-01,CBP,CHEP BLOCK (MARK 55),103863,10,10/30/2023,,,,
         010,1009750,11809279,15880187,M473944-01,CBP,CHEP BLOCK (MARK 55),4000172402,15,10/10/2023,,,,
         010,1009753,11809288,15881733,M473953-01,CBP,CHEP BLOCK (MARK 55),4000172402,10,10/17/2023,,,,
         010,1009752,11809291,15880363,M473944-05,CBP,CHEP BLOCK (MARK 55),4000172402,12,10/12/2023,,,,
