R55CHEPSUM,,CHEP Summarization Report,,,,11/30/2023,12:43:08,,,,,,
VF060001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
60,6009208,11839410,15877864,81731,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/3/2023,,,,
60,6009208,11839410,15877864,81731,CXY,CHEP CHEMICAL PALLET,4000445826,1,10/3/2023,,,,
60,6009209,11839411,15877916,81732,CBP,CHEP BLOCK (MARK 55),4000445826,24,10/3/2023,,,,
60,6009210,11839412,15877919,81733,CBP,CHEP BLOCK (MARK 55),4000445826,4,10/3/2023,,,,
60,6009211,11839413,15877920,81734,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/3/2023,,,,
60,6009212,11839414,15877922,81735,CBP,CHEP BLOCK (MARK 55),4000445826,7,10/3/2023,,,,
60,6009214,11839416,15877941,81737,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/3/2023,,,,
60,6009218,11839431,15878066,81741,CBP,CHEP BLOCK (MARK 55),4000445826,7,10/3/2023,,,,
60,6009219,11839432,15878098,81742,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/3/2023,,,,
60,6009220,11839434,15878112,81743,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/3/2023,,,,
60,6009221,11839436,15878123,81744,CBP,CHEP BLOCK (MARK 55),4000445826,4,10/3/2023,,,,
60,6009222,11839437,15878127,81745,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/3/2023,,,,
60,6009223,11839439,15878130,81746,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/3/2023,,,,
60,6009224,11839440,15878160,81747,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/3/2023,,,,
60,6009225,11839441,15877967,81748,CBP,CHEP BLOCK (MARK 55),4000445826,12,10/3/2023,,,,
60,6009226,11839442,15877973,81749,CBP,CHEP BLOCK (MARK 55),4000445826,9,10/3/2023,,,,
60,6009227,11839443,15877992,81750,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/3/2023,,,,
60,6009228,11839445,15878024,81751,CBP,CHEP BLOCK (MARK 55),4000445826,7,10/3/2023,,,,
60,6009229,11839446,15878033,81752,CBP,CHEP BLOCK (MARK 55),4000445826,9,10/3/2023,,,,
60,6009230,11839447,15878349,81753,CBP,CHEP BLOCK (MARK 55),4000445826,15,10/4/2023,,,,
60,6009231,11839448,15878192,81754,CBP,CHEP BLOCK (MARK 55),4000445826,4,10/3/2023,,,,
60,6009232,11839449,15878234,81755,CBP,CHEP BLOCK (MARK 55),4000445826,17,10/3/2023,,,,
60,6009234,11839452,15878248,81757,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/3/2023,,,,
60,6009235,11839453,15878251,81758,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/3/2023,,,,
60,6009236,11839455,15878261,81759,CBP,CHEP BLOCK (MARK 55),4000445826,9,10/3/2023,,,,
60,6009237,11839458,15878269,81760,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/3/2023,,,,
60,6009238,11839460,15878085,81761,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/3/2023,,,,
60,6009239,11839461,15878068,81762,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/3/2023,,,,
60,6009241,11839463,15878280,81764,CBP,CHEP BLOCK (MARK 55),4000445826,14,10/3/2023,,,,
60,6009242,11839465,15878291,81765,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/3/2023,,,,
60,6009243,11839468,15878297,81766,CBP,CHEP BLOCK (MARK 55),4000445826,16,10/3/2023,,,,
60,6009249,11840130,15878312,81768,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/3/2023,,,,
60,6009250,11840131,15878358,81769,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/3/2023,,,,
60,6009251,11840132,15878351,81770,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/4/2023,,,,
60,6009252,11840133,15878363,81771,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/4/2023,,,,
60,6009253,11840136,15878382,81772,CBP,CHEP BLOCK (MARK 55),4000445826,19,10/4/2023,,,,
60,6009254,11840137,15878401,81773,CBP,CHEP BLOCK (MARK 55),4000445826,4,10/4/2023,,,,
60,6009258,11840141,15878419,81777,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/4/2023,,,,
60,6009259,11840142,15878441,81778,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/4/2023,,,,
60,6009260,11840143,15878454,81779,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/4/2023,,,,
60,6009262,11840145,15878487,81781,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/4/2023,,,,
60,6009263,11840146,15878524,81782,CBP,CHEP BLOCK (MARK 55),4000445826,15,10/4/2023,,,,
