Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018365806
Invoice Date,25.11.2023
Invoice Period - From/To,19.11.2023,25.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13965,13817,97464.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023139084029,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,14,C,,,6603574300217,06031485,83083,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084028,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603574300216,06031484,83082,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084027,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603574300215,06031483,83080,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084026,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,14,C,,,6603574300214,06031481,83077,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084025,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603574300213,06031480,83074,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084024,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,16,C,,,6603574300212,06031479,83075,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084023,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603574300211,06031478,83076,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084022,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603574300210,06031477,83073,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084021,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603574300209,06031476,83071,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084020,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,16,C,,,6603574300208,06031475,83070,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084019,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603574300207,06031472,83068,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
