Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018289234
Invoice Date,28.10.2023
Invoice Period - From/To,22.10.2023,28.10.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,14001,14445,102488.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023127897254,04001,4000352274,4000352274,McCormick - Springfield - Fren,Springfield,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,22,C,,,8998132716692,44482023,9580369 OP,25.10.2023,19.10.2023,19.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023127557650,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,1,C,,,6603565900338,20861300,184478,25.10.2023,24.10.2023,24.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023129123637,04001,6100762810,6100762810,VF Chambersburg Plant #25,Chambersburg,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,2,C,,,6603566800058,02552884,184476,28.10.2023,26.10.2023,26.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023085039223,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000207556,02440040,Oxford Paint & Hardware,Oxford,US,1,S,002,Closed Location,6603541400205,06027978,ABBYSARK01,18.07.2023,13.07.2023,,,,,,,,,,,,,,,,,
02023127042907,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603565200163,06030798,82313,24.10.2023,20.10.2023,20.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023127042906,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603565200162,06030796,82311,24.10.2023,20.10.2023,20.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023127557910,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603565900248,06030822,82351,25.10.2023,23.10.2023,23.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023127557905,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603565900243,06030817,82354,25.10.2023,23.10.2023,23.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023127557904,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603565900242,06030816,82353,25.10.2023,23.10.2023,23.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023127557903,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603565900241,06030815,82352,25.10.2023,23.10.2023,23.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
