Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018250525
Invoice Date,14.10.2023
Invoice Period - From/To,08.10.2023,14.10.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,12480,13226,90618.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023121521798,04001,4000139600,4000139600,Ventura Foods Ontario Plant #7,Ontario,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,1,C,,,6603562000296,07544605,184439,11.10.2023,09.10.2023,09.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023121854804,04001,4000352274,4000352274,McCormick - Springfield - Fren,Springfield,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,16,C,,,8998131787836,44395051,9561147 OP,11.10.2023,02.10.2023,02.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023121521826,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4,C,,,6603562000335,20860675,184464,11.10.2023,05.10.2023,05.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023122039197,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,2,C,,,6603562400337,20860755,184467,12.10.2023,10.10.2023,10.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023123041438,04001,6100762810,6100762810,VF Chambersburg Plant #25,Chambersburg,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,2,C,,,6603563100076,02551215,184468,14.10.2023,13.10.2023,13.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023085039223,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000207556,02440040,Oxford Paint & Hardware,Oxford,US,1,S,002,Closed Location,6603541400205,06027978,ABBYSARK01,18.07.2023,13.07.2023,,,,,,,,,,,,,,,,,
02023121014050,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603561100147,06030403,81891,10.10.2023,06.10.2023,06.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014049,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603561100148,06030405,81893,10.10.2023,06.10.2023,06.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014048,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603561100149,06030406,81894,10.10.2023,06.10.2023,06.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014014,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603561100146,06030402,81890,10.10.2023,06.10.2023,06.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014013,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603561100145,06030401,81888,10.10.2023,06.10.2023,06.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014047,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,17,C,,,6603561100150,06030407,81895,10.10.2023,07.10.2023,07.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014046,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603561100151,06030408,81897,10.10.2023,07.10.2023,07.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014045,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603561100152,06030409,81896,10.10.2023,07.10.2023,07.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014044,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,17,C,,,6603561100153,06030410,81898,10.10.2023,07.10.2023,07.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014043,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603561100154,06030411,81899,10.10.2023,07.10.2023,07.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023121014042,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603561100155,06030414,81901,10.10.2023,07.10.2023,07.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
