Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018346631
Invoice Date,18.11.2023
Invoice Period - From/To,12.11.2023,18.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13908,13965,99474.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023136708890,04001,4000075068,U0LQ,Clorox Co - DHL Roanoke SE RDC,ROANOKE,US,6100788687,C0001385140,Ventura Foods Fort Worth Plant,Saginaw,US,4,C,,,5035118600001,0095340161,9595623,15.11.2023,14.11.2023,14.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023136708889,04001,4000075068,U0LQ,Clorox Co - DHL Roanoke SE RDC,ROANOKE,US,6100788687,C0001385140,Ventura Foods Fort Worth Plant,Saginaw,US,3,C,,,5035118700001,0095340160,9595624,15.11.2023,14.11.2023,14.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023129905659,04001,4000131338,4000131338,PLZ Corp. - Newbury Park,Newbury Park,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,20,C,,,8998133035191,81341302,9589141,30.10.2023,27.10.2023,27.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023133390618,04001,4000131338,4000131338,PLZ Corp. - Newbury Park,Newbury Park,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,21,C,,,8998133594650,81347962,9593842,07.11.2023,06.11.2023,06.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023137043070,04001,4000352274,4000352274,McCormick - Springfield - Fren,Springfield,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,5,C,,,8998134178368,44559445,9576928 OP,15.11.2023,09.11.2023,09.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023137043071,04001,4000352274,4000352274,McCormick - Springfield - Fren,Springfield,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,22,C,,,8998134178369,44550832,9580370 OP,15.11.2023,10.11.2023,10.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023136060824,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,1,C,,,6603572300132,20862224,184508,14.11.2023,13.11.2023,13.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023137151333,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,11,C,,,6603573200290,20862336,184510,16.11.2023,14.11.2023,14.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023137151329,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,17,C,,,6603573200294,20862341,184509,16.11.2023,14.11.2023,14.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023136060950,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,21,C,,,6603572300103,06031345,82939,14.11.2023,13.11.2023,13.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136060949,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,21,C,,,6603572300104,06031347,82940,14.11.2023,13.11.2023,13.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136060948,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,17,C,,,6603572300105,06031348,82942,14.11.2023,13.11.2023,13.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136060947,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603572300106,06031349,82943,14.11.2023,13.11.2023,13.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136060946,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,21,C,,,6603572300107,06031351,82937,14.11.2023,13.11.2023,13.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023137151594,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603573200215,06031382,82969,16.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023137151593,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603573200214,06031380,82965,16.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023137151592,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603573200213,06031378,82963,16.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136627601,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603573000037,06031377,82962,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611347,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603572900240,06031352,82844,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611346,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603572900241,06031355,82948,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611345,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603572900242,06031358,82949,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611344,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,14,C,,,6603572900243,06031359,82950,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611343,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603572900244,06031361,82952,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611342,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603572900245,06031362,82951,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611341,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603572900246,06031363,82953,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611340,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603572900247,06031364,82954,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611339,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603572900248,06031366,82955,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611338,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603572900249,06031367,82957,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023136611336,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603572900250,06031368,82958,15.11.2023,14.11.2023,14.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
