Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018269550
Invoice Date,21.10.2023
Invoice Period - From/To,15.10.2023,21.10.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13226,14001,96450.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023123871158,04001,4000224266,4000224266,PLZ Aeroscience Corp,Saint Clair,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,6,C,,,8995083292021,81336728,9589146,16.10.2023,16.10.2023,16.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023124960952,04001,4000352274,4000352274,McCormick - Springfield - Fren,Springfield,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,22,C,,,8998132276533,44448836,9563586 OP,18.10.2023,11.10.2023,11.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023125043230,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,2,C,,,6603564200398,20861062,184469,19.10.2023,17.10.2023,17.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023125426919,04001,6100453146,6100453146,Red Gold,Alexandria,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,14,C,,,7033081100999,1729689,9580017OP,19.10.2023,13.10.2023,13.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023085039223,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000207556,02440040,Oxford Paint & Hardware,Oxford,US,1,S,002,Closed Location,6603541400205,06027978,ABBYSARK01,18.07.2023,13.07.2023,,,,,,,,,,,,,,,,,
02023123941167,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603563500166,06030604,82109,17.10.2023,13.10.2023,13.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023123941166,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603563500167,06030605,82110,17.10.2023,13.10.2023,13.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023123941165,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603563500168,06030607,82112,17.10.2023,13.10.2023,13.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023123941164,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,17,C,,,6603563500169,06030608,82115,17.10.2023,13.10.2023,13.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023123941188,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603563500173,06030618,82126,17.10.2023,14.10.2023,14.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
