Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018308486
Invoice Date,04.11.2023
Invoice Period - From/To,29.10.2023,04.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,14445,13588,98225.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023130171135,04001,4000075068,U0LQ,Clorox Co - DHL Roanoke SE RDC,ROANOKE,US,6100788687,C0001385140,Ventura Foods Fort Worth Plant,Saginaw,US,4,C,,,5035046300001,0095340169,9572154 OP,31.10.2023,30.10.2023,30.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023131154186,04001,4000075068,U0LQ,Clorox Co - DHL Roanoke SE RDC,ROANOKE,US,6100788687,C0001385140,Ventura Foods Fort Worth Plant,Saginaw,US,6,C,,,5035304900001,0095338378,9595622,02.11.2023,01.11.2023,01.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023131152896,04001,4000075068,U0LQ,Clorox Co - DHL Roanoke SE RDC,ROANOKE,US,6100788687,C0001385140,Ventura Foods Fort Worth Plant,Saginaw,US,5,C,,,5035305200001,0095338377,9595621,02.11.2023,01.11.2023,01.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023130030889,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,14,C,,,6603567400214,20861561,184482,31.10.2023,27.10.2023,27.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023130624772,04001,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,11,C,,,6603567600436,20861573,184483,01.11.2023,30.10.2023,30.10.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023132153171,04001,6100762810,6100762810,VF Chambersburg Plant #25,Chambersburg,US,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4,C,,,6603568900049,02553835,184489,04.11.2023,03.11.2023,03.11.2023,Cust Transfer In,,,,,,,,,,,,,,,
02023085039223,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000207556,02440040,Oxford Paint & Hardware,Oxford,US,1,R,002,Closed Location,6603541400205,06027978,ABBYSARK01,18.07.2023,13.07.2023,,,,,,,,,,,,,,,,,
02023130031053,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603567400125,06030925,82483,31.10.2023,27.10.2023,27.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031052,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603567400126,06030926,82484,31.10.2023,28.10.2023,28.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031051,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603567400127,06030927,82469,31.10.2023,28.10.2023,28.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031050,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603567400128,06030929,82486,31.10.2023,28.10.2023,28.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031049,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603567400129,06030930,82485,31.10.2023,28.10.2023,28.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031048,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603567400130,06030933,82498,31.10.2023,28.10.2023,28.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031047,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603567400131,06030934,82489,31.10.2023,28.10.2023,28.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031046,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603567400132,06030935,82487,31.10.2023,28.10.2023,28.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130625130,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,21,C,,,6603567600331,06030968,82532,01.11.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130625129,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603567600330,06030967,82529,01.11.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130625128,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603567600329,06030966,82528,01.11.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130625127,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603567600328,06030965,82527,01.11.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130625126,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603567600327,06030964,82526,01.11.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130625125,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603567600326,06030963,82525,01.11.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130079563,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,17,C,,,6603567500015,06030962,82524,31.10.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130079562,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603567500014,06030961,82523,31.10.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130079561,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603567500013,06030960,82522,31.10.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031045,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603567400133,06030939,82501,31.10.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023130031044,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603567400134,06030940,82500,31.10.2023,30.10.2023,30.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
